,,,,,,,,,,,,,
Age,Gender,Income,Credit Score,Credit History Length,Number of Existing Loans,Loan Amount,Loan Tenure,Existing Customer,State,City,Employment Profile,Profile Score,Occupation
40,Male,20000,446,48,2,67334,42,No,Delhi,New Delhi,Self-Employed,85,Farmer
67,Male,134000,850,219,10,150000,341,Yes,Tamil Nadu,Manjari,Salaried,90,Civil Servant
70,Male,82000,436,140,2,80718,14,No,Telangana,Hyderabad,Salaried,52,Civil Servant
63,Female,72000,344,168,0,103424,30,No,Maharashtra,Mumbai,Salaried,46,Civil Servant
69,Male,47000,497,244,3,150000,16,No,West Bengal,Kolkata,Self-Employed,82,Farmer
28,Female,65000,482,85,3,58331,34,No,Telangana,Hyderabad,Salaried,72,Teacher
63,Female,48000,565,375,4,50785,62,No,Rajasthan,Udaipur,Salaried,95,Teacher
18,Other,16000,329,436,0,12592,119,No,Telangana,Hyderabad,Unemployed,17,NA
26,Female,48000,300,349,0,127696,30,No,Uttar Pradesh,Lucknow,Unemployed,19,NA
34,Female,77000,326,160,0,93422,13,No,Tamil Nadu,Chennai,Salaried,19,Doctor
60,Female,132000,752,169,8,119937,336,Yes,Delhi,New Delhi,Salaried,100,Doctor
21,Female,44000,733,511,7,37592,322,Yes,Karnataka,Mysuru,Freelancer,100,Writer
39,Male,110000,545,48,4,150000,89,No,Maharashtra,Nagpur,Self-Employed,78,Shopkeeper
56,Male,92000,763,573,8,147137,237,Yes,Karnataka,Dhulagori,Salaried,94,Doctor
43,Female,90000,782,327,8,106491,331,Yes,Karnataka,Mysuru,Salaried,98,Civil Servant
67,Male,65000,528,462,4,150000,75,No,Delhi,New Delhi,Freelancer,44,Graphic Designer
64,Female,127000,649,473,6,150000,318,No,Telangana,Hyderabad,Salaried,100,Civil Servant
21,Female,46000,430,544,2,85243,98,No,Maharashtra,Nagpur,Self-Employed,29,Farmer
47,Male,28000,756,226,8,52918,130,Yes,Uttar Pradesh,Manjari,Self-Employed,100,Farmer
68,Other,70000,553,194,4,93269,103,No,Uttar Pradesh,Lucknow,Salaried,91,Software Engineer
54,Female,134000,713,303,7,133699,60,Yes,Delhi,New Delhi,Salaried,100,Doctor
28,Female,50000,645,60,6,150000,193,No,Karnataka,Mysuru,Freelancer,68,Photographer
55,Female,92000,648,227,6,115015,162,No,Tamil Nadu,Coimbatore,Salaried,100,Banker
65,Female,192000,850,406,10,150000,96,Yes,Maharashtra,Pune,Salaried,100,Software Engineer
18,Male,24000,519,462,3,45280,106,No,Delhi,New Delhi,Salaried,85,Teacher
23,Male,63000,419,29,2,142381,84,No,Maharashtra,Mumbai,Self-Employed,42,Business Owner
20,Other,58000,722,250,7,82463,298,Yes,Kerala,Thiruvananthapuram,Salaried,90,Civil Servant
36,Male,29000,747,569,8,76523,246,Yes,Uttar Pradesh,Kanpur,Salaried,100,Banker
28,Female,50000,689,244,7,52359,235,Yes,West Bengal,Nellikuppam,Salaried,95,Teacher
59,Female,74000,411,213,2,150000,13,No,Tamil Nadu,Chennai,Self-Employed,56,Shopkeeper
54,Female,51000,850,86,10,150000,239,Yes,Rajasthan,Jaipur,Salaried,97,Software Engineer
30,Female,51000,322,146,0,150000,79,No,Telangana,Hyderabad,Freelancer,37,Writer
61,Female,128000,850,182,10,88441,334,Yes,Kerala,Kochi,Salaried,100,Banker
27,Female,38000,812,191,9,93542,288,Yes,Rajasthan,Jaipur,Self-Employed,99,Business Owner
24,Female,37000,700,384,7,99217,142,Yes,Uttar Pradesh,Lucknow,Self-Employed,94,Shopkeeper
50,Female,90000,493,173,3,88017,33,No,Gujarat,Surat,Salaried,94,Doctor
39,Female,88000,403,110,1,109483,20,No,Telangana,Hyderabad,Self-Employed,29,Contractor
38,Male,72000,375,434,1,44649,12,No,Rajasthan,Jaipur,Self-Employed,29,Shopkeeper
20,Female,48000,484,256,3,150000,109,No,Kerala,Kochi,Unemployed,87,NA
18,Male,48000,495,403,3,57712,23,No,Delhi,New Delhi,Self-Employed,49,Contractor
24,Female,47000,384,305,1,131907,17,No,Maharashtra,Pune,Self-Employed,47,Business Owner
45,Female,79000,759,102,8,62855,306,Yes,Telangana,Hyderabad,Unemployed,90,NA
23,Other,56000,622,241,5,98495,113,No,Kerala,Thiruvananthapuram,Freelancer,91,Independent Consultant
33,Female,46000,329,207,0,148317,58,No,Delhi,New Delhi,Salaried,70,Teacher
68,Male,116000,832,547,9,130072,180,Yes,Tamil Nadu,Dhulagori,Salaried,100,Civil Servant
53,Male,118000,641,601,6,150000,144,No,Telangana,Hyderabad,Self-Employed,92,Farmer
34,Female,33000,599,601,5,141450,71,No,Uttar Pradesh,Kanpur,Salaried,79,Civil Servant
39,Female,112000,695,98,7,150000,186,Yes,Karnataka,Mysuru,Salaried,97,Teacher
37,Male,94000,486,159,3,104366,118,No,Gujarat,Ahmedabad,Student,82,Student
37,Female,67000,425,536,2,122025,36,No,Rajasthan,Dhulagori,Self-Employed,54,Farmer
41,Male,103000,818,222,9,102667,264,Yes,Karnataka,Bengaluru,Salaried,95,Software Engineer
58,Female,162000,383,552,1,150000,77,No,Rajasthan,Jaipur,Salaried,58,Teacher
43,Female,106000,608,59,5,122644,165,No,Maharashtra,Pune,Salaried,95,Doctor
33,Male,50000,751,518,8,82442,126,Yes,Rajasthan,Udaipur,Self-Employed,90,Contractor
23,Male,31000,701,494,7,36340,134,Yes,Tamil Nadu,Coimbatore,Self-Employed,100,Business Owner
31,Female,26000,303,15,0,91974,74,No,West Bengal,Kolkata,Self-Employed,73,Business Owner
30,Other,47000,534,347,4,104534,73,No,Delhi,New Delhi,Self-Employed,100,Farmer
59,Male,91000,502,228,3,105628,80,No,Gujarat,Ahmedabad,Self-Employed,70,Farmer
25,Male,66000,511,547,3,99856,26,No,Telangana,Hyderabad,Self-Employed,83,Farmer
21,Female,24000,498,272,3,85518,44,No,West Bengal,Kolkata,Salaried,68,Software Engineer
50,Male,82000,307,114,0,150000,78,No,Maharashtra,Pune,Student,32,Student
54,Male,143000,408,601,1,150000,101,No,Kerala,Nellikuppam,Self-Employed,77,Farmer
51,Female,135000,694,446,7,88353,308,Yes,Telangana,Hyderabad,Salaried,98,Banker
40,Male,68000,401,382,1,100969,35,No,Uttar Pradesh,Kanpur,Freelancer,31,Independent Consultant
48,Female,123000,584,7,5,95335,114,No,West Bengal,Kolkata,Salaried,92,Civil Servant
42,Male,89000,525,398,4,125441,49,No,Gujarat,Ahmedabad,Salaried,98,Doctor
42,Male,77000,809,55,9,93455,276,Yes,Rajasthan,Udaipur,Salaried,100,Software Engineer
45,Male,128000,704,267,7,55651,170,Yes,Maharashtra,Channarayapatna,Self-Employed,96,Shopkeeper
63,Female,99000,790,517,8,150000,167,Yes,Uttar Pradesh,Kanpur,Salaried,91,Doctor
64,Female,161000,750,530,8,142595,355,Yes,Telangana,Hyderabad,Salaried,100,Teacher
49,Female,122000,850,242,10,150000,166,Yes,Telangana,Hyderabad,Self-Employed,92,Shopkeeper
55,Female,128000,578,94,5,92232,68,No,Uttar Pradesh,Dhulagori,Self-Employed,90,Contractor
58,Female,49000,640,316,6,116602,306,No,West Bengal,Kolkata,Salaried,100,Teacher
28,Male,51000,355,256,1,119303,43,No,Karnataka,Bengaluru,Freelancer,47,Photographer
53,Male,105000,786,577,8,91948,62,Yes,Delhi,New Delhi,Salaried,96,Teacher
20,Male,54000,605,176,5,150000,245,No,Delhi,New Delhi,Freelancer,69,Writer
37,Female,19000,708,374,7,92249,282,Yes,Maharashtra,Nagpur,Self-Employed,94,Farmer
27,Female,24000,599,198,5,100325,99,No,Karnataka,Dhulagori,Unemployed,63,NA
31,Male,92000,815,178,9,51775,89,Yes,Rajasthan,Jaipur,Student,90,Student
43,Male,30000,480,147,3,58908,115,No,Maharashtra,Pune,Unemployed,68,NA
46,Other,134000,850,403,10,150000,327,Yes,Tamil Nadu,Chennai,Self-Employed,100,Business Owner
64,Female,178000,651,261,6,82525,137,Yes,Karnataka,Bengaluru,Salaried,82,Civil Servant
69,Female,51000,311,196,0,59282,43,No,Maharashtra,Mumbai,Self-Employed,0,Farmer
34,Male,98000,479,389,3,130174,70,No,West Bengal,Bishanpura,Self-Employed,65,Contractor
42,Female,108000,794,568,8,150000,115,Yes,Uttar Pradesh,Kanpur,Self-Employed,97,Shopkeeper
29,Female,78000,653,304,6,59745,110,Yes,Gujarat,Surat,Unemployed,63,NA
52,Female,98000,725,399,7,150000,133,Yes,Delhi,New Delhi,Self-Employed,100,Business Owner
54,Female,97000,304,497,0,150000,45,No,Maharashtra,Pune,Self-Employed,33,Business Owner
24,Female,43000,762,421,8,150000,74,Yes,Telangana,Manjari,Student,93,Student
27,Female,19000,430,214,2,91773,81,No,Tamil Nadu,Chennai,Unemployed,10,NA
21,Other,29000,361,469,1,53379,18,No,Gujarat,Ahmedabad,Self-Employed,66,Contractor
58,Female,121000,384,245,1,150000,26,No,Tamil Nadu,Coimbatore,Salaried,62,Doctor
62,Male,112000,538,276,4,83106,80,No,Rajasthan,Nellikuppam,Unemployed,31,NA
28,Female,28000,300,74,0,76802,64,No,West Bengal,Kolkata,Student,0,Student
55,Male,117000,461,450,2,114277,52,No,Rajasthan,Jaipur,Self-Employed,60,Shopkeeper
60,Female,65000,733,53,7,66156,87,Yes,Gujarat,Manjari,Self-Employed,100,Business Owner
41,Female,46000,356,135,1,49211,38,No,West Bengal,Kolkata,Salaried,81,Teacher
62,Female,110000,797,279,9,73628,249,Yes,Uttar Pradesh,Lucknow,Self-Employed,90,Contractor
22,Male,22000,729,369,7,51543,128,Yes,Delhi,New Delhi,Freelancer,96,Independent Consultant
23,Female,55000,457,581,2,142707,71,No,Rajasthan,Udaipur,Student,35,Student
36,Male,64000,370,562,1,67709,53,No,Karnataka,Mysuru,Salaried,60,Banker
51,Male,71000,463,446,2,98822,12,No,Uttar Pradesh,Lucknow,Self-Employed,29,Business Owner
50,Female,109000,734,228,7,150000,130,Yes,Delhi,Channarayapatna,Self-Employed,100,Business Owner
58,Male,71000,464,605,2,150000,79,No,Uttar Pradesh,Lucknow,Freelancer,64,Independent Consultant
45,Other,83000,596,534,5,141020,51,No,Uttar Pradesh,Dhulagori,Self-Employed,87,Shopkeeper
64,Male,67000,573,226,4,150000,42,No,Delhi,New Delhi,Student,46,Student
46,Male,53000,629,394,5,134392,163,No,Maharashtra,Pune,Salaried,85,Doctor
46,Male,62000,624,423,5,100580,303,No,Rajasthan,Udaipur,Self-Employed,56,Business Owner
43,Female,121000,840,371,9,150000,71,Yes,Delhi,Nellikuppam,Salaried,93,Teacher
44,Male,64000,692,317,7,148798,345,Yes,Telangana,Hyderabad,Freelancer,100,Independent Consultant
64,Female,145000,790,217,8,137969,298,Yes,Maharashtra,Pune,Student,98,Student
69,Male,145000,435,287,2,103811,19,No,Delhi,New Delhi,Unemployed,35,NA
28,Female,50000,770,368,8,34683,132,Yes,Uttar Pradesh,Lucknow,Salaried,100,Doctor
52,Female,44000,594,422,5,128373,92,No,Maharashtra,Nagpur,Self-Employed,93,Shopkeeper
26,Male,40000,300,223,0,29600,94,No,Maharashtra,Nellikuppam,Unemployed,37,NA
63,Male,104000,781,445,8,150000,94,Yes,Uttar Pradesh,Kanpur,Student,96,Student
46,Female,88000,463,45,2,98214,52,No,Uttar Pradesh,Lucknow,Self-Employed,31,Business Owner
58,Male,171000,829,368,9,139825,154,Yes,Karnataka,Bengaluru,Self-Employed,94,Contractor
66,Male,171000,573,187,4,150000,66,No,Tamil Nadu,Chennai,Salaried,100,Banker
18,Male,16000,300,104,0,72857,113,No,Maharashtra,Mumbai,Self-Employed,34,Contractor
55,Male,77000,642,82,6,78863,191,No,Telangana,Dhulagori,Salaried,78,Software Engineer
26,Female,22000,423,273,2,28043,21,No,Rajasthan,Jaipur,Self-Employed,58,Farmer
69,Female,177000,677,410,6,67022,162,Yes,Rajasthan,Jaipur,Self-Employed,67,Farmer
52,Female,147000,563,60,4,61209,28,No,Telangana,Hyderabad,Self-Employed,98,Farmer
65,Male,50000,626,563,5,150000,296,No,Karnataka,Bengaluru,Salaried,78,Teacher
35,Female,25000,716,17,7,70290,113,Yes,Kerala,Thiruvananthapuram,Self-Employed,97,Shopkeeper
23,Male,42000,566,441,4,150000,82,No,Uttar Pradesh,Lucknow,Self-Employed,67,Farmer
59,Other,162000,538,385,4,150000,92,No,Gujarat,Surat,Unemployed,54,NA
25,Female,41000,697,260,7,49913,248,Yes,Karnataka,Bengaluru,Salaried,93,Banker
49,Female,68000,672,504,6,73527,74,Yes,Delhi,New Delhi,Salaried,96,Doctor
60,Male,160000,452,94,2,150000,77,No,Uttar Pradesh,Kanpur,Self-Employed,24,Business Owner
55,Male,99000,531,171,4,150000,90,No,Rajasthan,Jaipur,Freelancer,71,Graphic Designer
41,Male,114000,845,304,9,150000,238,Yes,Telangana,Hyderabad,Self-Employed,100,Shopkeeper
26,Male,57000,588,22,5,150000,98,No,Rajasthan,Udaipur,Self-Employed,82,Business Owner
32,Male,19000,648,231,6,53553,239,No,Gujarat,Ahmedabad,Salaried,100,Doctor
23,Female,39000,394,390,1,150000,23,No,Maharashtra,Nagpur,Salaried,78,Doctor
48,Male,26000,493,223,3,100545,81,No,Kerala,Channarayapatna,Salaried,62,Civil Servant
46,Male,27000,376,22,1,71703,48,No,Delhi,New Delhi,Salaried,52,Teacher
45,Female,107000,445,523,2,108969,50,No,Gujarat,Surat,Salaried,75,Teacher
50,Other,136000,719,509,7,150000,242,Yes,Gujarat,Dhulagori,Salaried,100,Software Engineer
49,Male,31000,590,495,5,148100,100,No,Uttar Pradesh,Kanpur,Salaried,83,Doctor
50,Female,61000,405,384,1,52030,85,No,Telangana,Hyderabad,Unemployed,23,NA
56,Male,106000,521,450,4,117636,72,No,Maharashtra,Nagpur,Self-Employed,96,Shopkeeper
45,Female,44000,600,606,5,150000,104,No,West Bengal,Kolkata,Self-Employed,88,Farmer
63,Female,167000,513,573,3,150000,35,No,Uttar Pradesh,Channarayapatna,Salaried,88,Teacher
30,Male,86000,850,102,10,56228,210,Yes,Delhi,New Delhi,Self-Employed,90,Business Owner
30,Male,21000,717,385,7,63985,135,Yes,Maharashtra,Nagpur,Student,94,Student
61,Male,134000,398,305,1,107445,112,No,Uttar Pradesh,Lucknow,Self-Employed,79,Farmer
19,Female,56000,524,324,4,130858,80,No,Maharashtra,Nagpur,Freelancer,97,Independent Consultant
34,Male,20000,478,454,3,20582,101,No,Telangana,Hyderabad,Salaried,88,Doctor
34,Male,93000,657,428,6,94401,197,Yes,Tamil Nadu,Coimbatore,Unemployed,92,NA
67,Female,175000,651,348,6,94532,301,Yes,West Bengal,Kolkata,Salaried,100,Doctor
37,Male,68000,305,226,0,66873,100,No,Gujarat,Surat,Salaried,63,Doctor
39,Female,101000,814,350,9,148529,305,Yes,West Bengal,Kolkata,Salaried,100,Software Engineer
65,Male,60000,783,8,8,119247,256,Yes,Delhi,New Delhi,Freelancer,100,Graphic Designer
55,Female,161000,543,163,4,50470,62,No,Delhi,New Delhi,Salaried,49,Banker
27,Female,34000,368,123,1,103844,53,No,West Bengal,Kolkata,Salaried,35,Teacher
64,Male,111000,701,588,7,150000,338,Yes,Telangana,Hyderabad,Salaried,98,Teacher
67,Male,145000,850,213,10,149466,301,Yes,Delhi,New Delhi,Salaried,100,Civil Servant
61,Male,147000,678,198,6,96447,298,Yes,Telangana,Hyderabad,Self-Employed,95,Farmer
59,Male,125000,711,168,7,125838,62,Yes,Delhi,Nellikuppam,Salaried,100,Banker
30,Male,26000,679,365,6,99926,340,Yes,Delhi,Manjari,Unemployed,95,NA
29,Female,32000,421,368,2,150000,60,No,Uttar Pradesh,Kanpur,Salaried,61,Software Engineer
54,Female,133000,552,169,4,147644,47,No,Gujarat,Ahmedabad,Salaried,85,Banker
52,Male,42000,300,453,0,150000,19,No,Rajasthan,Nellikuppam,Freelancer,49,Writer
69,Male,105000,850,48,10,150000,338,Yes,Tamil Nadu,Coimbatore,Salaried,92,Doctor
32,Female,60000,468,61,3,150000,103,No,Uttar Pradesh,Kanpur,Salaried,97,Teacher
49,Female,139000,678,596,6,93303,122,Yes,Telangana,Hyderabad,Salaried,100,Software Engineer
29,Female,85000,390,422,1,71711,39,No,Uttar Pradesh,Kanpur,Self-Employed,66,Shopkeeper
61,Male,158000,501,278,3,105976,17,No,Delhi,New Delhi,Self-Employed,100,Farmer
60,Male,118000,635,455,6,81848,234,No,Tamil Nadu,Coimbatore,Salaried,88,Doctor
46,Female,61000,602,53,5,116064,208,No,Karnataka,Bengaluru,Salaried,79,Doctor
25,Female,25000,706,375,7,24648,176,Yes,West Bengal,Kolkata,Salaried,92,Banker
52,Female,106000,594,287,5,150000,107,No,Gujarat,Bishanpura,Self-Employed,100,Business Owner
27,Male,37000,300,196,0,108278,117,No,Kerala,Thiruvananthapuram,Salaried,61,Teacher
56,Male,53000,398,589,1,150000,52,No,Gujarat,Surat,Self-Employed,73,Contractor
39,Male,91000,406,131,1,150000,57,No,Delhi,New Delhi,Unemployed,20,NA
68,Female,107000,584,89,5,69238,70,No,Kerala,Kochi,Salaried,100,Teacher
29,Male,60000,681,559,6,128061,126,Yes,Kerala,Thiruvananthapuram,Salaried,100,Doctor
34,Male,73000,443,299,2,52669,25,No,Tamil Nadu,Channarayapatna,Salaried,82,Software Engineer
49,Female,37000,850,295,10,97688,335,Yes,Tamil Nadu,Chennai,Salaried,95,Teacher
22,Male,22000,647,292,6,71264,299,No,Karnataka,Bengaluru,Salaried,92,Civil Servant
26,Male,58000,850,351,10,96368,334,Yes,Uttar Pradesh,Lucknow,Salaried,100,Doctor
51,Female,82000,485,79,3,150000,113,No,Telangana,Hyderabad,Unemployed,71,NA
68,Female,180000,729,168,7,101010,274,Yes,Gujarat,Ahmedabad,Salaried,100,Software Engineer
39,Female,30000,389,393,1,136156,34,No,Uttar Pradesh,Lucknow,Self-Employed,49,Business Owner
18,Female,25000,681,381,6,70189,221,Yes,Delhi,New Delhi,Freelancer,97,Photographer
33,Female,75000,733,50,7,68817,262,Yes,Maharashtra,Mumbai,Salaried,100,Doctor
21,Male,49000,386,21,1,134878,28,No,Uttar Pradesh,Kanpur,Salaried,78,Teacher
29,Male,36000,627,449,5,120926,206,No,Rajasthan,Jaipur,Freelancer,77,Independent Consultant
45,Female,56000,779,184,8,118103,312,Yes,Kerala,Kochi,Self-Employed,100,Shopkeeper
19,Male,49000,668,66,6,141610,351,Yes,Delhi,New Delhi,Salaried,100,Software Engineer
70,Female,126000,432,508,2,150000,45,No,West Bengal,Kolkata,Salaried,66,Teacher
24,Female,14000,353,422,0,43034,54,No,Maharashtra,Nagpur,Self-Employed,17,Farmer
24,Male,59000,429,227,2,91586,55,No,Kerala,Thiruvananthapuram,Unemployed,54,NA
51,Female,90000,364,369,1,150000,49,No,Tamil Nadu,Channarayapatna,Salaried,41,Doctor
20,Female,15000,440,519,2,37043,66,No,Kerala,Kochi,Self-Employed,75,Farmer
53,Male,104000,716,507,7,70568,98,Yes,Gujarat,Ahmedabad,Salaried,100,Software Engineer
62,Female,160000,768,25,8,150000,187,Yes,Rajasthan,Udaipur,Salaried,100,Banker
55,Female,112000,659,390,6,101635,180,Yes,Karnataka,Mysuru,Salaried,77,Teacher
63,Male,36000,705,231,7,103642,129,Yes,Telangana,Hyderabad,Self-Employed,100,Shopkeeper
34,Male,100000,850,511,10,74914,137,Yes,Tamil Nadu,Coimbatore,Freelancer,93,Photographer
42,Male,29000,374,384,1,118812,110,No,Maharashtra,Nagpur,Student,29,Student
36,Male,78000,305,470,0,132830,70,No,Gujarat,Manjari,Salaried,50,Software Engineer
40,Other,60000,381,415,1,76778,97,No,Telangana,Hyderabad,Self-Employed,46,Contractor
54,Male,151000,604,163,5,150000,171,No,Gujarat,Surat,Salaried,75,Banker
34,Female,32000,557,325,4,145905,58,No,Maharashtra,Mumbai,Salaried,95,Doctor
39,Female,82000,508,38,3,150000,100,No,Tamil Nadu,Chennai,Self-Employed,98,Business Owner
31,Male,36000,785,448,8,76425,201,Yes,Uttar Pradesh,Lucknow,Student,100,Student
53,Male,88000,319,340,0,102545,52,No,Kerala,Nellikuppam,Salaried,35,Banker
69,Female,149000,590,405,5,85462,99,No,Tamil Nadu,Chennai,Salaried,99,Banker
31,Female,85000,393,151,1,110581,46,No,Gujarat,Surat,Self-Employed,49,Contractor
58,Male,88000,398,529,1,87434,43,No,Uttar Pradesh,Lucknow,Salaried,48,Teacher
44,Male,23000,469,558,3,58061,63,No,Gujarat,Surat,Self-Employed,75,Business Owner
66,Female,88000,451,307,2,126893,35,No,Telangana,Hyderabad,Unemployed,46,NA
57,Male,90000,652,371,6,149611,215,Yes,Tamil Nadu,Chennai,Salaried,99,Software Engineer
27,Female,25000,639,338,6,104326,358,No,Maharashtra,Mumbai,Self-Employed,90,Shopkeeper
56,Male,48000,464,80,2,130612,34,No,Delhi,New Delhi,Salaried,97,Banker
19,Male,16000,410,496,2,59253,97,No,Delhi,New Delhi,Salaried,44,Software Engineer
66,Male,131000,581,498,5,68624,103,No,Uttar Pradesh,Lucknow,Self-Employed,78,Business Owner
58,Female,153000,544,190,4,121487,46,No,Uttar Pradesh,Lucknow,Salaried,80,Teacher
27,Male,57000,581,431,5,147593,91,No,Uttar Pradesh,Lucknow,Salaried,91,Software Engineer
21,Female,16000,655,400,6,42356,176,Yes,Telangana,Hyderabad,Salaried,97,Civil Servant
44,Female,79000,794,446,8,150000,98,Yes,Kerala,Kochi,Self-Employed,92,Contractor
67,Male,148000,567,64,4,129341,14,No,Rajasthan,Channarayapatna,Self-Employed,100,Shopkeeper
34,Female,87000,369,125,1,61743,114,No,Delhi,New Delhi,Salaried,72,Banker
52,Male,74000,591,132,5,139965,34,No,Rajasthan,Jaipur,Self-Employed,65,Business Owner
36,Male,59000,344,552,0,150000,95,No,Rajasthan,Jaipur,Self-Employed,16,Business Owner
62,Male,153000,768,203,8,75776,167,Yes,Rajasthan,Udaipur,Self-Employed,92,Farmer
62,Female,157000,705,243,7,145361,258,Yes,Delhi,New Delhi,Salaried,93,Teacher
62,Male,71000,576,312,5,150000,20,No,Telangana,Hyderabad,Salaried,96,Doctor
28,Male,76000,526,275,4,68433,88,No,Gujarat,Surat,Student,43,Student
19,Female,40000,453,558,2,103544,79,No,Maharashtra,Pune,Salaried,68,Doctor
50,Male,46000,300,72,0,150000,24,No,Delhi,New Delhi,Salaried,8,Teacher
45,Male,49000,373,532,1,150000,32,No,Gujarat,Surat,Salaried,74,Software Engineer
44,Female,127000,457,298,2,86512,86,No,Karnataka,Mysuru,Freelancer,62,Independent Consultant
49,Female,105000,737,500,7,84314,345,Yes,Telangana,Dhulagori,Salaried,92,Software Engineer
65,Female,143000,850,411,10,108043,275,Yes,Tamil Nadu,Coimbatore,Salaried,95,Doctor
46,Male,136000,627,265,5,150000,328,No,Tamil Nadu,Chennai,Freelancer,86,Independent Consultant
57,Male,70000,324,156,0,52123,26,No,Karnataka,Mysuru,Salaried,69,Teacher
19,Female,23000,300,333,0,115419,32,No,Delhi,Channarayapatna,Salaried,86,Software Engineer
50,Female,113000,685,374,7,150000,213,Yes,Gujarat,Surat,Salaried,86,Banker
51,Male,48000,495,258,3,48189,19,No,Delhi,New Delhi,Unemployed,52,NA
56,Male,119000,737,390,7,100811,309,Yes,Gujarat,Surat,Student,100,Student
23,Female,49000,432,465,2,150000,79,No,Telangana,Hyderabad,Unemployed,79,NA
65,Other,80000,709,283,7,55584,253,Yes,Tamil Nadu,Coimbatore,Freelancer,95,Writer
64,Male,49000,441,84,2,95699,15,No,Kerala,Thiruvananthapuram,Freelancer,60,Graphic Designer
43,Male,102000,695,285,7,138996,298,Yes,Telangana,Hyderabad,Salaried,99,Teacher
33,Male,68000,665,126,6,134318,179,Yes,Tamil Nadu,Coimbatore,Self-Employed,85,Contractor
59,Female,41000,660,543,6,47821,177,Yes,Kerala,Thiruvananthapuram,Freelancer,85,Graphic Designer
31,Male,76000,391,485,1,131559,42,No,Maharashtra,Nagpur,Self-Employed,82,Shopkeeper
49,Female,145000,555,608,4,150000,16,No,Uttar Pradesh,Lucknow,Salaried,96,Doctor
19,Female,45000,739,108,7,85529,204,Yes,Maharashtra,Pune,Salaried,100,Teacher
44,Female,67000,452,346,2,82961,62,No,Karnataka,Bishanpura,Self-Employed,30,Business Owner
